"","Title","count","Category"
"2860","REMD TUT II-GSHIP","161",""
"1990","MED AST 1","160","Med Center"
"3207","STF PHARMACIST 1 NEX","160",""
"226","AMERICORP MEMBER","159","Staff"
"1594","HEALTH TCHN 3","159","Staff"
"1495","FUNDRAISER 3","158","Staff"
"1346","FAC MECH","157",""
"1671","HS ASST CLIN PROF-FY","156","Non-Senate"
"1307","EVENTS CRD 2","154","Staff"
"1311","EVENTS SPEC 2","153","Staff"
"111","ADMIN ANL AST","153",""
"2892","RESID-VET MED/NON REP","153",""
"262","APPLICATIONS PROGR 2","152","Staff"
"1821","LAB HELPER","151","Research Staff"
"242","ANESTHETIST NURSE SR NEX","151","Med Center"
"321","ASSOC IN__-AY- 1/9 -NON-GSHIP","150","Student Instruction"
"1026","CUSTODIAN LD","150","Staff"
"2030","MED CTR SCRTY OFCR","150","Med Center"
"1564","HEAD COACH 5","149","Coach"
"428","AST PHYSCN","148",""
"152","ADMISSIONS EVALUATOR IR","146",""
"319","ASSOC IN ____-AY-GSHIP","145","Student Instruction"
"2519","PRG REPR 1","143",""
"696","CHILD DEV CTR TEACHER 1","142","Staff"
"927","COMPUTER RESC SPEC 2","142","Staff"
"1856","LECT PSOE-AY","141","Teaching Track"
"879","CNSLNG PSYCHOLOGIST 3 HX","141","Staff"
"2506","POST DDS I-VI/NON REP","141",""
"157","ADMISSIONS RECRMT SPEC 2","140","Staff"
"1128","DIETITIAN 2","140",""
"3314","TCHL PROJECT MGT PROFL 4","139","Staff"
"116","ADMIN ANL SR SUPV","139",""
"3322","TEACHER-SPEC PROG","138","Unit 18"
"1483","FOOD SVC SUPV 1","138","Staff"
"824","CLIN RSCH CRD SR NEX","138","Med Center"
"3160","STDT IT","138",""
"868","CMTY HEALTH PRG REPR PD","137","Staff"
"1365","FAC PROJECT MGT SPEC 4","137","Staff"
"2657","PUBL EDUC SPEC 3","135","Staff"
"3127","STDT AFFAIRS OFCR 4","135",""
"2431","PHYS THER 2 NEX","134",""
"1354","FAC MGT SPEC 3","133","Staff"
"22","ACAD PRG MGT OFCR 3","133","Acad Staff"
"114","ADMIN ANL PRN SUPV","133",""
"218","AMBUL CARE ADMSTN SUPV 1","132","Med Center"
"95","ADJ INSTR-AY","131","Non-Senate"
"2184","NURSE SVC MGR 2","129","Med Center"
"883","COACH AST 2","129","Athletics"
"94","ADDL COMP-HGH&OLIVE VIEW MCS","129",""
"2936","RSCH AND DEV ENGR 2","128","Research Staff"
"866","CMTY HEALTH PRG REPR","127","Staff"
"911","COMM SPEC 4","126","Staff"
"2637","PSYCHOLOGIST 2","125",""
"3158","STDT INTRA SPORTS","125",""
"1506","GEN ACCOUNTANT 3","124","Staff"
"2347","PAYROLL ANL 2","124","Staff"
"3321","TCHN SR","124","Staff"
"2232","ORGANIZATIONAL CNSLT 4","123","Staff"
"3367","TRAINER 3","123","Athletics"
"407","ASST PROJ SCIENTIST-FY-B/E/E","122","Research"
"484","AUTO EQUIP OPR SR","121","Staff"
"973","COOK SR","121","Staff"
"2981","SCRTY GUARD","120","Staff"
"780","CLIN LAB SUPV 2","120","Med Center"
"2183","NURSE SVC MGR 1","120","Med Center"
"38","ACADEMIC COORD I-FY","120","Acad Staff"
"3334","TEACHING ASSISTANT - STIPEND","118","Student Instruction"
"1055","DATA SYS ANL 3","118","Staff"
"2656","PUBL EDUC SPEC 2","118","Staff"
"2150","NON-PHYS CLIN TRAIN","118",""
"1555","GSR-TUIT & FEE REM-UCSD-GRP B","117","Student Reasearch"
"2384","PHARMACIST PD","117","Staff"
"3345","TELEMETRY TCHN","117",""
"831","CLIN SOCIAL WORKER 1 NEX","116","Med Center"
"1968","MARKETING SPEC 3","115","Staff"
"219","AMBUL CARE ADMSTN SUPV 2","115","Med Center"
"52","ACCESS REPR SR","115",""
"203","ALUMNI EXTERNAL REL SPEC 3","114","Staff"
"516","BENEFITS ANL 2","114","Staff"
"214","AMBUL CARE ADMSTN MGR 1","114","Med Center"
"2475","PLUMBER","112",""
"3482","VOC NURSE","112",""
"590","BUS SYS ANL 2","111","Staff"
"1751","INTRM POSTDOC SCHOLAR-EMPLOYEE","111","Staff"
"1808","K to 14 ACAD PREP SPEC 3","111","Staff"
"2945","RSCH CMPLNC ANL 3","111","Research Staff"
"1246","EMERGENCY TRAUMA TCHN SR","110",""
"1559","GSR-TUIT & FEE REM-UCSD-GRP F","108","Student Reasearch"
"1363","FAC PROJECT MGT SPEC 3","108","Staff"
"1712","INFO SYS MGR 1","107","Staff"
"143","ADMIN SUPV 1","107","Admin Staff"
"3409","ULTRASOUND TCHNO PRN","107",""
"3179","STDT RESEARCHER WKSTY","105","Students"
"781","CLIN LIC SOCIAL WORKER","105","Med Center"
"715","CLERK","105",""
"2176","NURSE PRACT PD","104","Staff"
"2781","RECR PRG LEADER 2 BYA","104","Staff"
"1144","DIR AST","104",""
"1841","LABORER","104",""
"2287","PAT BILLER 4","104",""
"1831","LAB RSCH SUPV 1","103","Research Staff"
"2017","MED CTR FOOD SVC WORKER","103","Med Center"
"1558","GSR-TUIT & FEE REM-UCSD-GRP E","101","Student Reasearch"
"2538","PROCUREMENT ANL 2","101","Staff"
"168","ADMITTING WORKER SR","101",""
"3121","STDT AFFAIRS OFCR 1","101",""
"2938","RSCH AND DEV ENGR 4","100","Research Staff"
"1328","EXEC AST 4","100","Admin Staff"
"1057","DATA SYS ANL 4","99","Staff"
"1593","HEALTH TCHN 2","99","Med Center"
"2032","MED CTR SCRTY OFCR SR","99","Med Center"
"164","ADMITTING WORKER","99",""
"2243","OTH POST-MD TRAIN 2-8/NON REP","99",""
"3312","TCHL PROJECT MGT PROFL 3","98","Staff"
"2242","OTH POST DDS/NON REP","98",""
"763","CLIN INFORMATICS SPEC 4","97","Med Center"
"1993","MED AST 2 PD","97","Med Center"
"1074","DEAN","97","Admin"
"1624","HOSP BLANK AST 4","97",""
"2966","RSDT AST","97",""
"773","CLIN LAB SCI PD","96","Staff"
"1022","CUSTODIAL SUPV 1","96","Staff"
"1409","FINANCIAL AID OFCR 3","96","Staff"
"2386","PHARMACIST SR EX","96","Med Center"
"2356","PERF ARTIST 2","96",""
"2590","PROGR ANL 1","96",""
"517","BENEFITS ANL 3","95","Staff"
"2379","PGY I PHARMACY RESID/NON REP","95","Med Center"
"3187","STDT SVC ADVISOR 4","95","Acad Staff"
"1872","LECT-FY-CONTINUING","94","Unit 18"
"320","ASSOC IN__-AY- 1/10 -NON-GSHIP","94","Student Instruction"
"1353","FAC MGT SPEC 2","94","Staff"
"209","AMBUL CARE ADMSTN CRD 2","94","Med Center"
"425","ASST TEACHER-UNEX","94","Non-Senate"
"2314","PAT RCDS ABSTRACTOR 4","94",""
"1707","INFO SYS ANL 2","93","Staff"
"2127","MUSEUM SCI","93","Staff"
"3169","STDT LIFE DEV SPEC 2","93","Acad Staff"
"930","COMPUTING RESC MGR 2","93",""
"698","CHILD DEV CTR TEACHER 2","92","Staff"
"689","CHIEF RESID PHYS-REP","92","Med Center"
"828","CLIN RSCH SUPV 1","92","Med Center"
"2399","PHARMACY TCHN 2 PD","92","Med Center"
"1615","HOSP AST 2 PD","92",""
"2107","MGT SVC OFCR 3","92",""
"2289","PAT CARE AST PD","92",""
"2911","REVENUE CYCLE HC ANL 3","91",""
"1263","EMPLOYMENT REPR 3","90","Staff"
"1905","LIFEGUARD","90","Staff"
"2267","PARKING REPR SR","90","Staff"
"2935","RSCH AND DEV ENGR 1","90","Research Staff"
"109","ADM CRD OFCR","90",""
"3252","SURGICAL TCHN","90",""
"3414","UNCLASSIFIED","90",""
"2606","PROJECT POLICY ANL 1","89","Staff"
"44","ACADEMIC COORD III-FY","89","Acad Staff"
"643","CARPENTER","89",""
"3200","STERILE PROCESSING TCHN 1","89",""
"2736","RADLG TCHNO PD","88","Staff"
"654","CASE MGR NEX","87",""
"2306","PAT NAVGTR NON-CLIN 2","87",""
"692","CHILD DEV CTR AST","86","Staff"
"1419","FINANCIAL ANL MGR 1","86","Staff"
"458","ATH TRAINER 3","86","Athletics"
"2746","READER-NON STDNT","86","Acad Staff"
"1860","LECT SOE-AY","85","Teaching Track"
"897","COMM AND NETWORK TCHL ANL 3","85","Staff"
"1207","EHS SPEC 4","85","Staff"
"1747","INTERN-CLINICAL PSYCHOLOGY","85","Staff"
"2955","RSCH DATA ANL 4","85","Research Staff"
"2713","QLTY IMPV HC SPEC 4","85",""
"1203","EHS SPEC 2 NEX","84","Staff"
"127","ADMIN MGR 3","84","Admin Staff"
"433","AST TO DEAN DIR CHAIR 1","84","Admin Staff"
"2646","PUBL ADMSTN ANL PRN","84",""
"204","ALUMNI EXTERNAL REL SPEC 4","83","Staff"
"98","ADJ PROF-AY","83","Non-Senate"
"1902","LIBRARY PROFL 4","83","Acad Staff"
"1143","DIR ASC","83",""
"2677","PUBL SFTY DISPATCHER","82","Staff"
"108","ADJUNCT PROFESSOR","82","Non-Senate"
"861","CMTY HEALTH OUTR PROFL 2","81","Staff"
"1505","GEN ACCOUNTANT 2","81","Staff"
"1569","HEALTH EDUCATOR 2","81","Staff"
"993","CT TCHNO","81",""
"639","CAREER SVC SPEC 4","80","Staff"
"323","ASSOC LIBRARIAN -CAREER STATUS","80","Acad Staff"
"929","COMPUTING RESC MGR 1","80",""
"1617","HOSP AST PD","80",""
"1626","HOSP LAB TCHN 1 PD","80",""
"278","ARTIST SR","79","Staff"
"1717","INFO SYS SUPV 2","79","Staff"
"1967","MARKETING SPEC 2","79","Staff"
"225","AMBUL CARE PAT SUPV 2","79","Med Center"
"1371","FAC WORKER","79",""
"2515","PRG PROMOTION MGR 1","79",""
"3381","TRANSPLANT CRD 2","79",""
"1614","HOSP AST 1 PD","78","Staff"
"2760","RECALL NON-FACULTY ACAD NEX","78","Non-Senate"
"830","CLIN SOCIAL WORKER 1 EX","78","Med Center"
"35","ACADEMIC ADMINISTRATOR VII","78","Admin"
"324","ASSOC LIBRARIAN-POTNTL CAREER","78","Acad Staff"
"974","COOP EXT ADVISOR","78",""
"1645","HOUSE MGR 2","78",""
"2299","PAT ESCORT","78",""
"3018","SOCIAL WORK ASC","78",""
"3483","VOC NURSE PD","78",""
"558","BLDG MAINT WORKER","77","Staff"
"3217","STOREKEEPER SR","77","Staff"
"1678","HS CLIN PROF-FY","77","Non-Senate"
"776","CLIN LAB SCI SPEC SR","77","Med Center"
"795","CLIN NURSE OR ADV PRACT SPEC 4","77","Med Center"
"3112","STDT ACAD SPEC 3","77","Acad Staff"
"2598","PROGR ANL 5","77",""
