"","Title","count","Category"
"1114","DEV ENGR PRN","21",""
"1400","FIN ANL PRN 1","21",""
"2666","PUBL EVENTS MGR","21",""
"2830","REGL AND CMPLNC HC SPEC 4","21",""
"3157","STDT INTERN PD","21",""
"3380","TRANSPLANT CRD 1","21",""
"3486","VOC NURSE SR SUPV","21",""
"250","ANL 3","20","Staff"
"916","COMPENSATION ANL 4","20","Staff"
"1208","EHS SPEC 5","20","Staff"
"1963","MARKETING MGR 1","20","Staff"
"2354","PAYROLL SUPV 2","20","Staff"
"2455","PHYSCN SHS 5 LIMITED HOURS","20","Staff"
"3000","SHEETMETAL WORKER","20","Staff"
"3240","STY ENGR","20","Staff"
"402","ASST PROF-SFT-VM","20","Senate"
"3463","VIS ASST PROJ SCIENTIST NEX","20","Research Staff"
"353","ASSOC RES-FY-NON REP","20","Research"
"107","ADJ. PROF","20","Non-Senate"
"373","ASST ADJ PROF-AY-B/E/E","20","Non-Senate"
"807","CLIN PROF-VOL","20","Non-Senate"
"729","CLIN APPLICATIONS PROFL 5","20","Med Center"
"736","CLIN DOC SPEC 3","20","Med Center"
"2036","MED CTR STOREKEEPER LD","20","Med Center"
"2053","MED OFC SVC CRD 2 PD","20","Med Center"
"2066","MED STF SVC SPEC 2","20","Med Center"
"2388","PHARMACIST SR SUPV","20","Med Center"
"40","ACADEMIC COORD II-AY","20","Acad Staff"
"1842","LABORER LD","20",""
"2194","OCCUPATIONAL THER 2 EX","20",""
"2198","OCCUPATIONAL THER 3 NEX","20",""
"2303","PAT NAVGTR CLIN 4","20",""
"2320","PAT REL PROFL 3","20",""
"2640","PSYCHOLOGIST 3","20",""
"3043","SPEECH PATHOLOGIST PD","20",""
"1867","LECT-AY-1/10-CONTINUING","19","Unit 18"
"604","BUS TCHL SUPP SUPV 1","19","Staff"
"913","COMM SUPV 2","19","Staff"
"1120","DEV TCHN 4","19","Staff"
"1292","ENTERPRISE RISK MGT ANL 2","19","Staff"
"1702","INFECTION PREVENTION CRD 4","19","Staff"
"1728","INSTITUTIONAL RSCH ANL 5","19","Staff"
"2121","MUSEUM EDUCATOR 1","19","Staff"
"3011","SKLD CRAFTS TRADES MGR 1","19","Staff"
"3280","SYS ADM 5","19","Staff"
"351","ASSOC RES-FY-B/E/E","19","Research"
"3461","VIS ASST PROF-HCOMP","19","Non-Senate"
"2003","MED CTR COOK SR","19","Med Center"
"1030","CUSTODIAN PRN SUPV","19",""
"1089","DEMO TEACHER","19",""
"1881","LEGAL SVC ADVISOR 2","19",""
"1985","MATERIALS MGT HC SUPV 1","19",""
"2203","OILER OPR 2","19",""
"2424","PHYS PLT SUPT","19",""
"2492","POLICE SERGEANT","19",""
"2560","PRODUCT DEV PROFL 3","19",""
"2725","RADLG AST 1","19",""
"2943","RSCH CMPLNC ANL 1","19",""
"3129","STDT AFFAIRS OFCR 5","19",""
"1460","FLD WK SUPV-FY","18","Unit 18"
"0","ABLE SEAMAN 2","18","Staff"
"16","ACAD HR MGR 1","18","Staff"
"541","BIOMED EQUIP TCHN 1","18","Staff"
"961","CONTRACTS AND GRANTS MGR 2","18","Staff"
"1711","INFO SYS ANL 5","18","Staff"
"1390","FIELD RESEARCHER 3","18","Research Staff"
"359","ASSOC SPECIALIST COOP EXT","18","Research"
"2602","PROJ SCIENTIST-FY NEX","18","Research"
"310","ASSOC CLIN PROF-VOL","18","Non-Senate"
"235","ANESTHESIA TCHN 3","18","Med Center"
"19","ACAD HR SUPV 2","18","Acad Staff"
"1886","LIBRARIAN-POTNTL CAREER STATUS","18","Acad Staff"
"3141","STDT DISABILITY SPEC 3","18","Acad Staff"
"3142","STDT DISABILITY SPEC 4","18","Acad Staff"
"707","CHILD LIFE SPEC 2 NEX","18",""
"995","CT TCHNO PD","18",""
"1000","CTRL STERILE SUPV 1","18",""
"1029","CUSTODIAN PD","18",""
"1045","CYTO TCHNO SR","18",""
"1097","DENTIST SR","18",""
"1126","DIETITIAN 1 EX","18",""
"1173","EDITOR SR","18",""
"1188","EEG TCHNO SR","18",""
"1377","FACULTY CONSULTANT","18",""
"1648","HOUSE SHIFT ADMIN 5 NEX","18",""
"1975","MASON","18",""
"2276","PAT ACCESS SVC SUPV 2","18",""
"2375","PERSONNEL ANL PRN 2","18",""
"2445","PHYSCN AST PD","18",""
"2453","PHYSCN NETWORK DEV SPEC 4","18",""
"2753","REAL ESTATE OFCR 3","18",""
"2889","RESID PHYS/SUBSPEC 4-8/REP-OV","18",""
"2914","REVENUE CYCLE HC MGR 1","18",""
"2987","SCRTY SUPV 1 HC","18",""
"3075","SRA 4 SUPV","18",""
"3136","STDT CLIN","18",""
"3229","STRAT SOURCING PROFL 3","18",""
"3250","SUPV TEACHER ED-AY-CONTINUING","18",""
"1874","LECTURER","17","Unit 18"
"3062","SR LECT SOE-AY-LAW","17","Teaching Track"
"15","ACAD HR ANL 5","17","Staff"
"178","ADVOCATE 3","17","Staff"
"510","BEH HEALTH PSYCHIATRIC PROFL 4","17","Staff"
"1028","CUSTODIAN LEADER SR","17","Staff"
"1258","EMPLOYMENT MGR 1","17","Staff"
"1293","ENTERPRISE RISK MGT ANL 3","17","Staff"
"1318","EVENTS SUPV 2","17","Staff"
"1412","FINANCIAL AID SUPV 2","17","Staff"
"1421","FINANCIAL ANL MGR 3","17","Staff"
"1725","INSTITUTIONAL RSCH ANL 2","17","Staff"
"2980","SCENE TCHN SR PD","17","Staff"
"3281","SYS ADMSTN MGR 1","17","Staff"
"3315","TCHL PROJECT MGT PROFL 5","17","Staff"
"3516","WRITER EDITOR 4 GF","17","Staff"
"400","ASST PROF-FY","17","Senate"
"192","AGRON AES","17","Research"
"345","ASSOC PROJ SCIENTIST-FY NEX","17","Research"
"3459","VIS ASSOC RES","17","Research"
"838","CLIN SPEC NEX","17","Med Center"
"2005","MED CTR CUSTODIAN LD","17","Med Center"
"2043","MED INTERPRETER PD","17","Med Center"
"2057","MED OFC SVC CRD LD 3","17","Med Center"
"2189","NURSERY TCHN","17","Med Center"
"28","ACADEMIC ADMINISTRATOR II","17","Admin"
"3115","STDT ACAD SUPV 2","17","Acad Staff"
"92","ACUPUNCTURIST 3","17",""
"616","CAMP CNSLR L3","17",""
"1006","CTRL SVC TCHN LD 3","17",""
"1253","EMPLOYEE REL REPR 3","17",""
"1417","FINANCIAL ANL 4 GF","17",""
"1658","HR GENERALIST 5","17",""
"1687","HVY DUTY EQUIP TCHN","17",""
"2085","MENTAL HEALTH PRACT SR","17",""
"2330","PAT SUPP AST PD","17",""
"2710","QLTY IMPV HC SPEC 2","17",""
"2730","RADLG SVC MGR 1","17",""
"2829","REGL AND CMPLNC HC SPEC 3","17",""
"2904","RESP THER 3","17",""
"2983","SCRTY GUARD SR SUPV","17",""
"3050","SPIRITUAL CARE HC SPEC 2","17",""
"1560","GSR-TUIT & FEE REM-UCSD-GRP G","16","Student Reasearch"
"3402","TUT-NON GSHIP/NON REP","16","Student Instruction"
"182","AEROSPACE ENGR 3","16","Staff"
"197","ALUMNI EXTERNAL REL MGR 1","16","Staff"
"482","AUTO EQUIP OPR","16","Staff"
"499","BEH HEALTH CNSLNG SUPV 2","16","Staff"
"518","BENEFITS ANL 4","16","Staff"
"642","CAREER SVC SUPV 2","16","Staff"
"2190","NURSERY TCHN SR","16","Staff"
"2222","OPTICIAN","16","Staff"
"2397","PHARMACY TCHN 1 PD","16","Staff"
"3350","TELEVISION TCHN","16","Staff"
"3375","TRANSIT SVC SUPV 1","16","Staff"
"2567","PROF IN RES-FY","16","Senate"
"2965","RSDT ADVISOR 2","16","Research Staff"
"811","CLIN PROFL SVC MGR 4","16","Med Center"
"2028","MED CTR PARKING AST","16","Med Center"
"31","ACADEMIC ADMINISTRATOR IV","16","Admin"
"66","ACCOUNTING MGR 2","16",""
"1048","CYTOGENETIC TCHNO 2","16",""
"1073","DEAF TRANSLATOR INTERPRETER","16",""
"1090","DEMO TEACHER-CONTINUING","16",""
"1172","EDITOR PRN","16",""
"1224","ELECTRN LD","16",""
"1480","FOOD SVC MGR PRN","16",""
"1518","GENETIC CNSLR 2 NEX","16",""
"1745","INTERCOL ATH HEAD COACH EX","16",""
"2086","MENTAL HEALTH THER 1","16",""
"2129","MUSEUM SCI PRN","16",""
"2148","NON EVALUATED MSP","16",""
"2197","OCCUPATIONAL THER 3 EX","16",""
"2225","OPTOMETRIST EX","16",""
"2239","ORTHOPEDIC TCHN SR","16",""
"2308","PAT NAVGTR NON-CLIN 4","16",""
"2370","PERINATAL TCHN 2","16",""
"2511","PRACTICE CRD 1","16",""
"2523","PRG REPR SUPV","16",""
"2548","PROD CNTRL ANL 2","16",""
"2739","RADLG TCHNO PRN PD","16",""
"2908","RET CUSTOMER SVC REPR 2","16",""
"3039","SPEECH PATHOLOGIST 2","16",""
"3159","STDT INTRA SPORTS WKSTY","16",""
"3209","STF PHYSCN","16",""
"3415","UNCLASSIFIED SR MGR CT","16",""
"3061","SR LECT SOE-AY-B/E/E","15","Teaching Track"
"3095","STDT 2 NON UC","15","Students"
"1542","GRADUATE RESEARCH FELLOW","15","Student Reasearch"
"472","AUDIT PROFL 2","15","Staff"
"504","BEH HEALTH PSYCHIATRIC MGR 1","15","Staff"
"531","BENEFITS SUPV 2","15","Staff"
"1211","EHS SUPV 2","15","Staff"
"1502","FUNDRAISING MGR 4","15","Staff"
"2136","MUSICIAN 3","15","Staff"
"2846","REHAB SVC SPEC 4","15","Staff"
"3355","THEATER PROD SPEC 2","15","Staff"
"3419","USER EXP DESIGNER 4","15","Staff"
"1595","HEALTH TCHN 4 NEX","15","Med Center"
"2408","PHLEBOTOMIST PD","15","Med Center"
"362","ASSOC UNIV LIBRARIAN","15","Acad Staff"
"3165","STDT LIFE DEV MGR 2","15","Acad Staff"
"130","ADMIN NURSE 2 NEX","15",""
"190","AGRICULTURE SUPV 1","15",""
"905","COMM AND NETWORK TCHL SUPV 2","15",""
"907","COMM MGR 2","15",""
"912","COMM SPEC 5","15",""
"942","CONST INSP SR","15",""
"1635","HOSP MED TRANSCRIBER SR","15",""
"1811","K to 14 ACAD PREP SUPV 2","15",""
"2080","MEETING ROOM CAPTAIN 2","15",""
"2692","PULMONARY TCHN 1","15",""
"2723","RAD THER TCHNO PD","15",""
"2742","RADLG TCHNO SR PD","15",""
"2780","RECR PRG LEADER 2","15",""
"2893","RESIDENTIAL SVC MECH","15",""
"3041","SPEECH PATHOLOGIST EX","15",""
"489","AV IT ENGR 3","14","Staff"
"515","BENEFITS ANL 1","14","Staff"
"545","BLANK APPR","14","Staff"
"568","BROADCAST COMM SPEC 3","14","Staff"
"697","CHILD DEV CTR TEACHER 1 PD","14","Staff"
"901","COMM AND NETWORK TCHL MGR 1","14","Staff"
"1136","DIGITAL COMM MGR 1","14","Staff"
"1165","EARLY CHILDHOOD EDUC SUPV 2","14","Staff"
"1433","FINANCIAL SVC MGR 2","14","Staff"
"1441","FIRE AND SCRTY SYS TCHN","14","Staff"
"1539","GOVT REL SPEC 5","14","Staff"
"1661","HR MGR 3","14","Staff"
"1803","K to 14 ACAD PREP MGR 1","14","Staff"
"1849","LANDSCAPE GROUNDS SUPV 2","14","Staff"
"1973","MARKETING SUPV 2","14","Staff"
"2480","PLUMBER PIPEFITTER","14","Staff"
"2542","PROCUREMENT MGR 1","14","Staff"
"2661","PUBL EDUC SUPV 2","14","Staff"
"2774","RECR MGR 1","14","Staff"
"2986","SCRTY SUPV 1","14","Staff"
"3316","TCHL PROJECT SUPV 2","14","Staff"
"3417","USER EXP DESIGNER 2","14","Staff"
"397","ASST PROF-AY-1/9","14","Senate"
"2564","PROF IN RES-AY","14","Senate"
"1822","LAB INSTRUCTION SUPV 1","14","Research Staff"
"1823","LAB INSTRUCTION SUPV 2","14","Research Staff"
"2947","RSCH CMPLNC ANL 5","14","Research Staff"
"3262","SURVEY WORKER SR","14","Research Staff"
"371","ASST ADJ PROF-AY-1/9","14","Non-Senate"
"239","ANESTHETIST NURSE PD","14","Med Center"
"628","CARE HOSP SUPV 1","14","Med Center"
"753","CLIN IMG IT SPEC 3","14","Med Center"
"1991","MED AST 1 PD","14","Med Center"
"455","ATH TRAINER","14","Athletics"
"120","ADMIN AST 2","14","Admin Staff"
"3109","STDT ACAD MGR 1","14","Acad Staff"
"3153","STDT HEALTH PHYSCN 4 PD","14","Acad Staff"
"276","ARTIST PRN","14",""
"997","CTRL HEAT COOLING PLT OPR","14",""
"1043","CYTO TCHNO","14",""
"1118","DEV TCHN 2","14",""
"1163","DRIVER","14",""
"1243","EMERGENCY MED TCHN SR","14",""
"1608","HOME HEALTH NURSE 2","14",""
"1638","HOSP RAD PHYSICIST EX","14",""
"1653","HR GENERALIST 1","14",""
"1682","HVAC CNTRL TCHN","14",""
"1785","IT SCRTY ANL 5","14",""
"1882","LEOP/LWR TUTOR","14",""
"1956","MARINE MECHN SR","14",""
"2115","MRI TCHNO LD","14",""
"2270","PARKING SUPV SR","14",""
"2295","PAT CARE TCHN PD","14",""
"2301","PAT ESCORT SR","14",""
"2584","PROFL ENGR 3","14",""
"2611","PROJECT POLICY ANL 4 GF","14",""
"3024","SOCIAL WORKER 1","14",""
"3205","STERILE PROCESSING TCHN 4","14",""
"3216","STOREKEEPER PD","14",""
"3275","SYS ADM 1","14",""
"3346","TELEMETRY TCHN PD","14",""
"3358","THEATER PROD SUPV","14",""
"3404","UCDC EDUCATOR - AY","14",""
"582","BUS DEV HC PROFL 5","13","Staff"
"596","BUS SYS ANL MGR 2","13","Staff"
"900","COMM AND NETWORK TCHL ANL 5","13","Staff"
"1053","DATA SYS ANL 1","13","Staff"
"1058","DATA SYS ANL 5","13","Staff"
"1063","DATA SYS SUPV 2","13","Staff"
"1181","EDUC TCHL SPEC 4","13","Staff"
"1332","EXEC CHEF 4","13","Staff"
"1405","FINANCIAL AID MGR 1","13","Staff"
"1568","HEALTH EDUCATOR 1","13","Staff"
"2470","PLNG SPEC 5","13","Staff"
"2977","SCENE TCHN PD","13","Staff"
"3026","SOUND TCHN","13","Staff"
"3356","THEATER PROD SPEC 3","13","Staff"
"3506","WATER AND WASTEWATER OPR","13","Staff"
"2940","RSCH AND DEV ENGR MGR 1","13","Research Staff"
"2869","RES-FY-B/E/E","13","Research"
"230","ANES OR CLIN SUPP SUPV 1","13","Med Center"
"237","ANESTHESIA TCHN PD","13","Med Center"
"749","CLIN ENGR SUPV 2","13","Med Center"
"788","CLIN NURSE 5","13","Med Center"
"282","ASC HEAD COACH CRD 4","13","Athletics"
"1889","LIBRARY AST 1","13","Acad Staff"
"3140","STDT DISABILITY SPEC 2","13","Acad Staff"
"191","AGRICULTURE SUPV 2","13",""
"661","CASE MGT HC SUPV 2","13",""
"704","CHILD LIFE SPEC 1 NEX","13",""
"943","CONST PROJECT MGR","13",""
"1185","EEG TCHNO","13",""
"1566","HEALTH EDUC SUPV 1","13",""
"2157","NTRTN AND DIETARY HC SUPV 2","13",""
"2278","PAT BILL AND COLL MGR 1","13",""
"2441","PHYS THER AST 3","13",""
"2517","PRG PROMOTION MGR 2","13",""
"2528","PRIVACY AND CMPLNC HC PROFL 3","13",""
"2673","PUBL INFO REPR","13",""
"2755","REAL ESTATE OFCR 4","13",""
"2840","REHAB AID 2","13",""
"2915","REVENUE CYCLE HC MGR 2","13",""
"3015","SKLD TRADES MECH","13",""
"3046","SPEECH PATHOLOGIST SR PD","13",""
"3051","SPIRITUAL CARE HC SPEC 3","13",""
"3243","SUBSTITUTE TEACHER","13",""
"3267","SUSTAIN OFCR 3","13",""
"3407","ULTRASOUND TCHNO LD","13",""
"3098","STDT 3 ANR","12","Students"
"67","ACCOUNTING MGR 3","12","Staff"
"183","AEROSPACE ENGR 4","12","Staff"
"509","BEH HEALTH PSYCHIATRIC PROFL 3","12","Staff"
"601","BUS TCHL SUPP MGR 1","12","Staff"
"870","CMTY HEALTH PRG REPR SR PD","12","Staff"
"880","CNSLNG PSYCHOLOGIST 4","12","Staff"
"1020","CUSTODIAL MGR 1","12","Staff"
"1119","DEV TCHN 3","12","Staff"
"1697","INDUSTRY ALLNS SPEC 5","12","Staff"
"2097","MGN COUNSEL 3","12","Staff"
"3282","SYS ADMSTN MGR 2","12","Staff"
"387","ASST PROF IN RES-AY","12","Senate"
"2570","PROF OF CLIN-FY","12","Senate"
"1392","FIELD RSCH MGR 1","12","Research Staff"
"3472","VIS PROJ SCIENTIST","12","Research"
"765","CLIN INFORMATICS SUPV 2","12","Med Center"
"2067","MED STF SVC SPEC 3","12","Med Center"
"1320","EXEC ADVISOR 3","12","Admin Staff"
"386","ASST LIBRARIAN-TEMP STATUS","12","Acad Staff"
"1735","INSTRUCTIONAL DESIGNER 2","12","Acad Staff"
"2821","REGISTRAR SPEC 4","12","Acad Staff"
"132","ADMIN NURSE 4","12",""
"705","CHILD LIFE SPEC 1 PD","12",""
"994","CT TCHNO LD","12",""
"1145","DIR EXEC","12",""
"1158","DOSIMETRIST","12",""
"1209","EHS SPEC PRN","12",""
"1358","FAC PROJECT MGR 1","12",""
"1634","HOSP MED TRANSCRIBER","12",""
"1748","INTERN-VET MED/NON REP","12",""
"1758","IP MGR 2","12",""
"1789","IT SCRTY SUPV 2","12",""
"2101","MGR AST","12",""
"2219","OPS ROOM EQUIP SPEC 2","12",""
"2268","PARKING SUPV","12",""
"2529","PRIVACY AND CMPLNC HC PROFL 4","12",""
"2599","PROGR ANL 5 SUPV","12",""
"2782","RECR PRG LEADER 3","12",""
"2858","REMD TUT I-GSHIP","12",""
"2895","RESP CARE MGR 1","12",""
"2970","SALES SPEC 3","12",""
"3016","SKYROOM ASSISTANT","12",""
"3268","SUSTAIN OFCR 4","12",""
"3395","TREE TRIM","12",""
"1541","GRADUATE FELLOW","11","Student Reasearch"
"179","ADVOCATE 4","11","Staff"
"490","AV IT ENGR 4","11","Staff"
"539","BIOINFORMATICS PROGR 5","11","Staff"
"588","BUS INTEL SUPV 2","11","Staff"
"804","CLIN OPS SHS SUPV 1","11","Staff"
"956","CONTRACT ADM 5","11","Staff"
"1039","CUSTOMER SVC SUPV 1","11","Staff"
"1716","INFO SYS SUPV 1","11","Staff"
"2417","PHYS PLT LABORER GARDENER LD","11","Staff"
"2456","PHYSCN SHS MGR 1","11","Staff"
"2687","PUBLICATIONS PROD SPEC 4","11","Staff"
"2927","ROOFER","11","Staff"
"3357","THEATER PROD SPEC 4","11","Staff"
"3503","WARDROBE TCHN","11","Staff"
"3512","WRITER","11","Staff"
"3513","WRITER AST","11","Staff"
"333","ASSOC PROF OF CLIN-SFT-VM","11","Senate"
"398","ASST PROF-AY-1/9-B/E/E","11","Senate"
"350","ASSOC RES-FY NEX","11","Research"
"2868","RES-FY NEX","11","Research"
"79","ACT ASST PROF-AY","11","Non-Senate"
"725","CLIN APPLICATIONS PROFL 2","11","Med Center"
"759","CLIN INFORMATICS MGR 2","11","Med Center"
"2046","MED LAB TCHN","11","Med Center"
"2051","MED OFC SVC CRD 1 PD","11","Med Center"
"2401","PHARMACY TCHN 3 PD","11","Med Center"
"1075","DEAN ASC","11","Admin Staff"
"1838","LABOR REL REPR 3","11","Admin Staff"
"367","ASSOCIATE DIRECTOR (PROF)","11","Admin"
"674","CHAN","11","Admin"
"39","ACADEMIC COORD I-FY NEX","11","Acad Staff"
"651","CART CAPTIONIST","11","Acad Staff"
"3151","STDT HEALTH PHYSCN 3 PD","11","Acad Staff"
"3189","STDT SVC MGR 2","11","Acad Staff"
"174","ADV OFCR 5","11",""
"694","CHILD DEV CTR CRD","11",""
"1079","DECISION SUPP MGR 1","11",""
"1148","DIRECTOR II","11",""
"1201","EHS SPEC 1 NEX","11",""
"1347","FAC MECH LD","11",""
"1382","FARM MACH MECH SR","11",""
"1423","FINANCIAL ANL SUPV 1","11",""
"1471","FOOD SVC MECH","11",""
"1600","HISTO TCHNO 2 PD","11",""
"1609","HOME HEALTH NURSE 3","11",""
"1660","HR MGR 2","11",""
"1878","LEGAL SUPP SPEC 3","11",""
"1907","LIFT TEAM TCHN 2 PD","11",""
"2227","OPTOMETRY SUPV 1","11",""
"2337","PAT TRANSPORT SUPV 1","11",""
"2341","PAT TRANSPORT TCHN LD 3","11",""
"2362","PERFUSIONIST NEX","11",""
"2420","PHYS PLT MECH AST SUPV","11",""
"2549","PROD CNTRL ANL 3","11",""
"2698","QA RELEASE MGT ANL 2","11",""
"2738","RADLG TCHNO PRN LD","11",""
"2789","RECR SUPV AST","11",""
"2851","REIMB HC ANL 3","11",""
"2975","SCENE TCHN AST","11",""
"3013","SKLD CRAFTS TRADES SUPV 1","11",""
"3244","SULLIVAN PROFESSOR OF LAW","11",""
"3485","VOC NURSE SR PD","11",""
"1456","FLD WK CONSULT-AY","10","Unit 18"
"3183","STDT RSDNC HALLS LD BYA","10","Students"
"70","ACCOUNTING SUPV 2","10","Staff"
"154","ADMISSIONS RECRMT MGR 2","10","Staff"
"181","AEROSPACE ENGR 2","10","Staff"
"184","AEROSPACE MGR 2","10","Staff"
"199","ALUMNI EXTERNAL REL MGR 3","10","Staff"
"208","ALUMNI EXTERNAL REL SUPV 2","10","Staff"
"495","BAKER SR","10","Staff"
"577","BUS DEV HC MGR 2","10","Staff"
"862","CMTY HEALTH OUTR PROFL 3","10","Staff"
"871","CMTY HEALTH PRG SUPV","10","Staff"
"1069","DATABASE ADM 5","10","Staff"
"1715","INFO SYS MGR 4","10","Staff"
"1786","IT SCRTY MGR 1","10","Staff"
"1966","MARKETING SPEC 1","10","Staff"
"2467","PLNG SPEC 2","10","Staff"
"2614","PROJECT POLICY ANL MGR 2","10","Staff"
"2682","PUBLICATIONS PROD MGR 1","10","Staff"
"3416","UNIV LIBRARIAN","10","Senate"
"1824","LAB MECHN","10","Research Staff"
"352","ASSOC RES-FY-B/E/E-NON REP","10","Research"
"2874","RES-LR SCL-AY-1/9","10","Research"
"100","ADJ PROF-AY-1/9","10","Non-Senate"
"1666","HS ASSOC CLIN PROF-AY","10","Non-Senate"
"211","AMBUL CARE ADMSTN CRD 4","10","Med Center"
"755","CLIN IMG IT SPEC 4","10","Med Center"
"2018","MED CTR FOOD SVC WORKER LD","10","Med Center"
"2181","NURSE STF CRD","10","Med Center"
"2394","PHARMACY SUPV 1","10","Med Center"
"451","ATH PROFL 4","10","Athletics"
"1837","LABOR REL REPR 2","10","Admin Staff"
"1840","LABOR REL REPR 5","10","Admin Staff"
"313","ASSOC DEAN","10","Admin"
"680","CHF CAMPUS COUNSEL","10","Admin"
"1335","EXEC VC AND PROVOST","10","Admin"
"3435","VC RSCH","10","Admin"
"2816","REGISTRAR MGR 1","10","Acad Staff"
"3155","STDT HEALTH PHYSCN 5 PD","10","Acad Staff"
"167","ADMITTING WORKER PRN PD","10",""
"658","CASE MGT HC MGR 1","10",""
"668","CENTER ASSOCIATE","10",""
"921","COMPUTER EXAM SPECIALIST","10",""
"1019","CUSTODIAL HC SUPV 2","10",""
"1025","CUSTODIAN AST SUPV","10",""
"1141","DIGITAL COMM SUPV 2","10",""
"1206","EHS SPEC 3 SUPV","10",""
"1212","EHS TCHN","10",""
"1272","ENERGY MGT ANL 3","10",""
"1303","ETHICS AND CMPLNC PROFL 2","10",""
"1399","FIN ANL AST","10",""
"1509","GEN ACCOUNTANT 5","10",""
"1517","GENETIC CNSLR 2 EX","10",""
"1523","GEOGRAPHIC INFO SYS PROGR 3","10",""
"1843","LABORER SR LD","10",""
"1944","MAINT MECH LD","10",""
"1952","MARINE COOK 2","10",""
"1986","MATERIALS MGT HC SUPV 2","10",""
"2246","PAINTER LD","10",""
"2367","PERFUSIONIST SR NEX","10",""
"2504","POPULATION HEALTH SPEC 4","10",""
"2586","PROFL ENGR 4","10",""
"2593","PROGR ANL 2 SUPV","10",""
"2652","PUBL CRD PRN","10",""
"2653","PUBL CRD SR","10",""
"2842","REHAB SVC MGR 1","10",""
"2863","REPROGRAPHICS TCHN LD","10",""
"2864","REPROGRAPHICS TCHN PRN","10",""
"3042","SPEECH PATHOLOGIST NEX","10",""
"3085","STATISTICIAN PRN","10",""
"3215","STOREKEEPER LD","10",""
"3378","TRANSLATOR PD","10",""
"3468","VIS JR SPECIALIST NEX","10",""
"3487","VOC REHAB SPEC 2","10",""
"3102","STDT 4 ANR","9","Students"
"475","AUDIT PROFL 5","9","Staff"
"493","BAKER AST","9","Staff"
"503","BEH HEALTH COUNSELOR 4","9","Staff"
"520","BENEFITS MGR 1","9","Staff"
"610","BUYER 3","9","Staff"
"847","CMPTL AND DATA SCI RSCH MGR 2","9","Staff"
"858","CMTY EDUC SPEC 4","9","Staff"
"917","COMPENSATION ANL 5","9","Staff"
"1010","CURATORIAL MGR 1","9","Staff"
"1065","DATABASE ADM 2","9","Staff"
"1183","EDUC TCHL SUPV 2","9","Staff"
"1295","ENTERPRISE RISK MGT ANL 5","9","Staff"
"1350","FAC MGR 3","9","Staff"
"1361","FAC PROJECT MGR 4","9","Staff"
"1406","FINANCIAL AID MGR 2","9","Staff"
"2207","OMBUDSPERSON 4","9","Staff"
"2491","POLICE OFCR 1","9","Staff"
"2541","PROCUREMENT ANL 5","9","Staff"
"2547","PROCUREMENT SUPV 2","9","Staff"
"2767","RECORDS ANL 3","9","Staff"
"2978","SCENE TCHN PRN","9","Staff"
"2942","RSCH AND DEV ENGR SUPV 2","9","Research Staff"
"101","ADJ PROF-AY-1/9-B/E/E","9","Non-Senate"
"464","AUDIOLOGIST EX","9","Med Center"
"718","CLIN APPL TRAINER 3","9","Med Center"
"741","CLIN ENGR 3","9","Med Center"
"1999","MED CTR BLDG MAINT WORKER SR","9","Med Center"
"2033","MED CTR SCRTY OFCR SR SUPV","9","Med Center"
"2039","MED CTR STORES WORKER","9","Med Center"
"2062","MED RCDS TCHN AST","9","Med Center"
"2162","NUC MED TCHNO PRN","9","Med Center"
"437","ATH MGR 1","9","Athletics"
"447","ATH PROFL 2","9","Athletics"
"3436","VC STDT AFFAIRS","9","Admin"
"7","ACAD ACHIEVEMENT CNSLR 5","9","Acad Staff"
"1898","LIBRARY MGR 1","9","Acad Staff"
"3166","STDT LIFE DEV MGR 3","9","Acad Staff"
"646","CARPENTER LD","9",""
"656","CASE MGR SOCIAL WORKER","9",""
"703","CHILD LIFE SPEC 1 EX","9",""
"987","COUNSEL 3","9",""
"1040","CUSTOMER SVC SUPV 2","9",""
"1047","CYTOGENETIC TCHNO 1","9",""
"1080","DECISION SUPP MGR 2","9",""
"1094","DENTIST ASC","9",""
"1131","DIETITIAN HC SPEC 4","9",""
"1630","HOSP LAB TCHN 3 PD","9",""
"1663","HR SUPV 1","9",""
"1769","IRRIGATION SPEC","9",""
"1829","LAB PROCESSING SUPV 2","9",""
"1929","LRNG SKLS CNSLR PRN","9",""
"1943","MAINT MECH 2","9",""
"1949","MANAGER","9",""
"2094","MGD CARE SPEC 4","9",""
"2098","MGN PRODUCER DIR","9",""
"2141","NEURO TCHNO","9",""
"2332","PAT SUPP CALL CTR SUPV 1","9",""
"2353","PAYROLL SUPV 1","9",""
"2437","PHYS THER 4","9",""
"2460","PHYSICIAN (ON CALL)","9",""
"2489","POLICE LIEUTENANT MSP","9",""
"2495","POLICE TRAINEE","9",""
"2497","POLYSOMNOGRAPHY TCHNO PRN","9",""
"2546","PROCUREMENT SUPV 1","9",""
"2633","PSYCHIATRIC TCHN PD","9",""
"2706","QLTY IMPV HC MGR 1","9",""
"2756","REAL ESTATE OFCR 5","9",""
"2786","RECR SUPV","9",""
"2823","REGISTRAR SUPV 2","9",""
"2951","RSCH CMPLNC SUPV 2","9",""
"2963","RSDNC HALLS MGR AST","9",""
"2997","SENIOR PROCTOR","9",""
"2999","SHEETMETAL MECH","9",""
"3007","SIGNMAKER","9",""
"3119","STDT ADVISOR SUPV 1","9",""
"3196","STEAM OPS ENGR LD","9",""
